bromeliad_id,binomial,genus,species,max_water,num_leaf,outlier_variable
5136,Vriesea_sp,Vriesea,sp,580,21,max_water
5166,Vriesea_sp,Vriesea,sp,950,30,max_water
5171,Vriesea_sp,Vriesea,sp,1530,36,max_water
5176,Vriesea_sp,Vriesea,sp,550,30,max_water
426,Vriesea_sp,Vriesea,sp,591,42,max_water
436,Vriesea_sanguinolenta,Vriesea,sanguinolenta,1270,24,max_water
456,Vriesea_sanguinolenta,Vriesea,sanguinolenta,558,23,max_water
476,Vriesea_sanguinolenta,Vriesea,sanguinolenta,1352,27,max_water
481,Vriesea_sanguinolenta,Vriesea,sanguinolenta,705,27,max_water
516,Vriesea_sanguinolenta,Vriesea,sanguinolenta,1874,31,max_water
521,Vriesea_sanguinolenta,Vriesea,sanguinolenta,6116,52,max_water
951,Vriesea_gladioliflora,Vriesea,gladioliflora,650,19,max_water
956,Vriesea_kupperiana,Vriesea,kupperiana,1250,30,max_water
976,Vriesea_kupperiana,Vriesea,kupperiana,900,27,max_water
356,Vriesea_sp,Vriesea,sp,114,44,num_leaf
416,Vriesea_sp,Vriesea,sp,97,44,num_leaf
426,Vriesea_sp,Vriesea,sp,591,42,num_leaf
521,Vriesea_sanguinolenta,Vriesea,sanguinolenta,6116,52,num_leaf
